FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,FEN_After_First_Move,Evaluation,white_material,black_material,white_pieces,black_pieces
6k1/ppKP3R/8/1P5p/P4P2/2p5/7P/3r4 w - - 1 50,h7e7 c3c2 c7b7 c2c1q,999,78,92,855,advancedPawn crushing endgame promotion rookEndgame short,https://lichess.org/mr645TDS#99,6k1/ppKPR3/8/1P5p/P4P2/2p5/7P/3r4 b - - 2 50,-234,10,9,7,6
3r4/3p3R/3Pk1p1/3NPn2/ppr2P2/3R4/PK6/8 b - - 7 40,c4d4 d5c7,1568,81,51,313,endgame mate mateIn1 oneMove,https://lichess.org/lJK75NTE/black#80,3r4/3p3R/3Pk1p1/3NPn2/pp1r1P2/3R4/PK6/8 w - - 8 41,1,17,17,8,8
r3k2r/ppp2pp1/2p5/2b1q2p/2B1P1n1/2N5/PPPPQPP1/R1B2RK1 w kq - 2 11,e2f3 e5h2,920,100,95,313,mate mateIn1 middlegame oneMove,https://lichess.org/QcpeCroK#21,r3k2r/ppp2pp1/2p5/2b1q2p/2B1P1n1/2N2Q2/PPPP1PP1/R1B2RK1 b kq - 3 11,-1,35,32,14,13
3r2k1/5rp1/7p/4Q3/P1P1p1qP/1PB2bp1/5P1K/R5R1 w - - 0 34,g1g3 g4h4 g3h3 h4f2,1099,82,93,1257,mate mateIn2 middlegame short,https://lichess.org/ffC1B9nT#67,3r2k1/5rp1/7p/4Q3/P1P1p1qP/1PB2bR1/5P1K/R7 b - - 0 34,-2,27,25,10,8
r3k1nr/pp1qppbp/2p3p1/4B3/3P4/2N2Q2/PPP3PP/R3R1K1 b kq - 4 14,g8f6 e5f6 g7f6 f3f6,1240,75,98,1984,advantage middlegame pin short,https://lichess.org/mZBTonHp/black#28,r3k2r/pp1qppbp/2p2np1/4B3/3P4/2N2Q2/PPP3PP/R3R1K1 w kq - 5 15,489,31,32,12,13
5rk1/p4pp1/qp1R4/2pN3p/5Q2/5PPb/PP3K1P/R1B5 w - - 7 30,f4h4 a6f1 f2e3 f8e8,1079,103,85,39,crushing middlegame short,https://lichess.org/DstrnDEG#59,5rk1/p4pp1/qp1R4/2pN3p/7Q/5PPb/PP3K1P/R1B5 b - - 8 30,-319,30,23,11,10
1k3b1r/Bpp2ppp/3r4/8/6B1/3n3P/qP3PP1/2R1QRK1 b - - 0 19,a2a7 e1e8 d6d8 e8d8,592,93,94,346,mate mateIn2 middlegame queensideAttack short,https://lichess.org/Gth3X5g4/black#38,1k3b1r/qpp2ppp/3r4/8/6B1/3n3P/1P3PP1/2R1QRK1 w - - 0 20,2,26,30,9,11
8/2k5/1b1p1p2/p1PQ1P2/1p1PP3/1P5q/6R1/5R1K w - - 8 39,g2h2 h3f1,765,78,99,843,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/jZFA17Eq#77,8/2k5/1b1p1p2/p1PQ1P2/1p1PP3/1P5q/7R/5R1K b - - 9 39,-1,24,16,9,7
3rrR1k/8/p4P1p/1p2BB1b/1P3P2/2PP4/p1NK4/8 b - - 1 36,e8f8 f6f7,819,84,84,496,advancedPawn discoveredAttack endgame master mate mateIn1 oneMove,https://lichess.org/57RBWuvi/black#72,3r1r1k/8/p4P1p/1p2BB1b/1P3P2/2PP4/p1NK4/8 w - - 0 37,1,14,17,9,8
4r3/8/8/1Pp5/2P2pk1/5Np1/1K6/5R2 w - - 2 49,b2c2 g3g2 f1f2 g4g3 f2g2 g3g2,2162,78,90,647,advancedPawn crushing endgame long,https://lichess.org/GTSfm4g9#97,4r3/8/8/1Pp5/2P2pk1/5Np1/2K5/5R2 b - - 3 49,-442,10,8,5,5
8/8/5p2/1p5p/2k1Kp2/P5P1/7P/8 w - - 0 36,g3f4 c4b3 e4f5 b3a3 f5f6 b5b4 f6e7 b4b3 f4f5 b3b2 f5f6 b2b1q,1042,75,98,1423,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/DyHiMp0u#71,8/8/5p2/1p5p/2k1KP2/P7/7P/8 b - - 0 36,-208,3,3,4,4
3R1rk1/Q4p1p/8/4pp2/2B5/2P5/PP5q/2K5 b - - 0 25,f8d8 a7f7 g8h8 f7f6,1291,197,55,11,endgame mate mateIn2 short,https://lichess.org/jK4CqseT/black#50,3r2k1/Q4p1p/8/4pp2/2B5/2P5/PP5q/2K5 w - - 0 26,2,15,18,6,7
6k1/5pp1/7p/2N5/2R1N3/5nPK/5P1P/6r1 w - - 9 39,h3g4 f3e5 g4f4 e5c4,966,75,96,2226,advantage endgame fork master short,https://lichess.org/VAu9yiEn#77,6k1/5pp1/7p/2N5/2R1N1K1/5nP1/5P1P/6r1 b - - 10 39,-389,14,11,7,6
r1b1k2r/ppp2pp1/2p2n2/2b1N2p/3qP3/2N4P/PPPP1PP1/R1BQK2R w KQkq - 1 8,e5f3 d4f2,962,89,93,84,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/8KhlxK23#15,r1b1k2r/ppp2pp1/2p2n2/2b4p/3qP3/2N2N1P/PPPP1PP1/R1BQK2R b KQkq - 2 8,-1,36,35,15,14
5r2/ppp1Nppk/8/1P6/5Bq1/3RQ3/b6p/7K b - - 5 32,f8e8 e3h3 g4h3 d3h3,1415,87,84,2036,anastasiaMate master mate mateIn2 middlegame short,https://lichess.org/VGyhkvZ7/black#64,4r3/ppp1Nppk/8/1P6/5Bq1/3RQ3/b6p/7K w - - 6 33,2,21,23,6,10
r1b1k1nr/1pq2pbp/p3p1p1/2pB4/P3NP2/6P1/1PPPQ2P/R1B1K2R b KQkq - 0 12,e6d5 e4f6 e8f8 e2e8,1268,75,95,9586,doubleCheck mate mateIn2 opening short,https://lichess.org/CAhNlQxG/black#24,r1b1k1nr/1pq2pbp/p5p1/2pp4/P3NP2/6P1/1PPPQ2P/R1B1K2R w KQkq - 0 13,2,32,35,13,14
r3k2r/1p4b1/pN1p4/2pPq3/2P1PpQ1/8/PP3P2/R3KB2 b Qkq - 0 20,e5b2 g4e6 e8f8 b6d7,1805,82,88,215,mate mateIn2 middlegame short,https://lichess.org/jsgM2D7G/black#40,r3k2r/1p4b1/pN1p4/2pP4/2P1PpQ1/8/Pq3P2/R3KB2 w Qkq - 0 21,2,25,27,10,10
rnbqk2r/pp2bp2/2p1p1Bp/3pN2Q/3P1P2/8/PPPN1PPP/R3K2R b KQkq - 0 10,f7g6 h5g6 e8f8 g6f7,1091,78,89,518,mate mateIn2 middlegame short,https://lichess.org/D1yWUKjK/black#20,rnbqk2r/pp2b3/2p1p1pp/3pN2Q/3P1P2/8/PPPN1PPP/R3K2R w KQkq - 0 11,2,33,35,14,14
r4rk1/1q3ppp/p2R4/1p2B3/4b3/7P/PP2QPP1/2R3K1 b - - 0 20,e4g2 e2g4 f7f6 d6d7 b7d7 g4d7,2190,76,91,755,crushing long middlegame,https://lichess.org/HA5NeqFC/black#40,r4rk1/1q3ppp/p2R4/1p2B3/8/7P/PP2QPb1/2R3K1 w - - 0 21,406,26,27,9,10
2k4r/p1p3q1/P4p2/2p5/Q1NP4/2P2K1P/6p1/R7 w - - 0 28,a1g1 h8h3 f3e2 g7g6 c4d6 c8d8 a4e8 g6e8 d6e8 d8e8 g1g2 h3c3,2796,93,87,386,crushing endgame exposedKing quietMove veryLong,https://lichess.org/AKOqTJ2s#55,2k4r/p1p3q1/P4p2/2p5/Q1NP4/2P2K1P/6p1/6R1 b - - 1 28,-176,21,19,8,8
8/6pk/6qp/1p6/2p1PQP1/5P2/5K1P/8 w - - 0 43,f4b8 g6c6 e4e5 c4c3 b8d6 c6c8,2772,115,90,1022,crushing endgame long queenEndgame,https://lichess.org/evK83R4k#85,1Q6/6pk/6qp/1p6/2p1P1P1/5P2/5K1P/8 b - - 1 43,-205,13,13,6,6
3rkbnr/pp1b1ppp/2n5/2pBP3/4NP2/5N2/PP4PP/R1B1K2R b KQk - 6 12,g8e7 e4d6,1272,75,96,202,mate mateIn1 oneMove opening smotheredMate,https://lichess.org/ja0lqoSv/black#24,3rkb1r/pp1bnppp/2n5/2pBP3/4NP2/5N2/PP4PP/R1B1K2R w KQk - 7 13,1,28,28,13,13
8/6R1/3Pk1p1/3r4/2K5/6P1/8/8 b - - 16 54,d5d6 g7g6 e6e5 g6d6 e5d6 c4d4 d6e6 d4e4 e6f6 e4f4 f6g6 f4g4,1645,75,93,1604,crushing defensiveMove endgame rookEndgame veryLong zugzwang,https://lichess.org/uJwAK8ER/black#108,8/6R1/3rk1p1/8/2K5/6P1/8/8 w - - 0 55,547,6,6,3,3
6r1/2p2p1k/1p2nr1p/pPb1p3/P1P1P3/3P2PP/R4PK1/3Q2R1 w - - 3 30,d1h5 e6f4 g2h2 f4h5,1597,75,88,287,crushing middlegame pin short,https://lichess.org/uN6HuCx6#59,6r1/2p2p1k/1p2nr1p/pPb1p2Q/P1P1P3/3P2PP/R4PK1/6R1 b - - 4 30,-695,27,22,12,11
r4r1k/5p1p/p5pP/3pqN2/1P4Q1/P4R2/2P3P1/7K b - - 0 28,f8g8 f5d6 g8f8 d6f7 f8f7 f3f7,2458,90,90,80,advantage endgame fork long,https://lichess.org/FYXMD5yE/black#56,r5rk/5p1p/p5pP/3pqN2/1P4Q1/P4R2/2P3P1/7K w - - 1 29,205,22,24,9,9
r1b3k1/pp3rpp/8/2ppp1B1/3n3P/P1qB2Q1/2P2PP1/1R1K3R b - - 1 18,c5c4 d3h7 g8h7 g3c3,1290,80,94,20605,advantage discoveredAttack middlegame short,https://lichess.org/Nw1ZVsBg/black#36,r1b3k1/pp3rpp/8/3pp1B1/2pn3P/P1qB2Q1/2P2PP1/1R1K3R w - - 0 19,254,30,32,11,13
r3kr2/ppp1qNpp/1b6/3BPb2/3nQ3/8/PPP2PPP/RNB2RK1 w q - 1 12,e4f4 d4e2 g1h1 e2f4,902,75,86,180,middlegame,https://lichess.org/MpooID0b#23,r3kr2/ppp1qNpp/1b6/3BPb2/3n1Q2/8/PPP2PPP/RNB2RK1 b q - 2 12,-472,38,33,15,12
8/8/3k4/8/p3R2r/P2K4/1P6/8 b - - 8 56,h4e4 d3e4 d6c5 e4e5 c5c4 e5d6,2396,80,78,90,crushing defensiveMove endgame long zugzwang,https://lichess.org/49fy2GPo/black#112,8/8/3k4/8/p3r3/P2K4/1P6/8 w - - 0 57,636,2,6,3,3
r2q2k1/pb3rbp/1p2Q1p1/3N2p1/8/5P2/PPP2P1P/3RR1K1 b - - 1 17,d8e8 e6e8 a8e8 e1e8,1427,78,79,138,advantage kingsideAttack middlegame short,https://lichess.org/b43dHOzp/black#34,r3q1k1/pb3rbp/1p2Q1p1/3N2p1/8/5P2/PPP2P1P/3RR1K1 w - - 2 18,392,28,30,11,11
8/1P6/2n5/p1Pp4/P4K2/7k/8/8 b - - 1 62,d5d4 f4e4 h3g4 e4d5 d4d3 d5c6,1214,76,77,106,crushing endgame knightEndgame long,https://lichess.org/MT9qBX4Z/black#124,8/1P6/2n5/p1P5/P2p1K2/7k/8/8 w - - 0 63,399,3,5,4,4
2r2nk1/pb4pp/1p2p3/3pP1q1/3P4/1P3QP1/P2N2B1/5RK1 b - - 1 23,b7a6 f3f7 g8h8 f7f8 c8f8 f1f8,1237,79,88,690,backRankMate deflection long mate mateIn3 middlegame,https://lichess.org/lzeuazSX/black#46,2r2nk1/p5pp/bp2p3/3pP1q1/3P4/1P3QP1/P2N2B1/5RK1 w - - 2 24,3,25,26,10,11
8/1p5p/p1p2kp1/2q2p2/1PPp4/4rPP1/P6P/2RQ1K2 b - - 0 31,c5b4 d1d4 f6f7 d4e3,816,80,92,628,crushing endgame fork short,https://lichess.org/o7UH3u5E/black#62,8/1p5p/p1p2kp1/5p2/1qPp4/4rPP1/P6P/2RQ1K2 w - - 0 32,538,19,21,8,10
2kr3r/pp1n1pp1/2P1p1b1/2Pn4/P2P1q1p/1Q3N2/4BPPP/R4RKN b - - 0 18,b7c6 e2a6 c8c7 b3b7,969,77,72,92,mate mateIn2 middlegame queensideAttack short,https://lichess.org/OmWgffQK/black#36,2kr3r/p2n1pp1/2p1p1b1/2Pn4/P2P1q1p/1Q3N2/4BPPP/R4RKN w - - 0 19,2,34,34,13,13
1r4k1/1r4b1/2p5/q1PpppNp/P2P2p1/4P1PP/2Q2KP1/RR6 w - - 0 29,c2f5 b8f8 f5f8 g7f8,2301,79,75,133,advantage middlegame pin short,https://lichess.org/p2HhZtaC#57,1r4k1/1r4b1/2p5/q1PppQNp/P2P2p1/4P1PP/5KP1/RR6 b - - 0 29,-206,29,27,12,10
2kr2nr/Qpp1q3/5ppb/5b2/4NP2/3P2P1/PPn3BP/R1B2RK1 b - - 0 14,c2a1 e4c5 e7c5 a7c5,1724,105,87,45,advantage middlegame short,https://lichess.org/uGzLRjd5/black#28,2kr2nr/Qpp1q3/5ppb/5b2/4NP2/3P2P1/PP4BP/n1B2RK1 w - - 0 15,363,29,35,12,12
6k1/2q2p2/Q5pp/3p4/3P4/4P1P1/Prp2P1P/2R3K1 w - - 0 30,g1g2 b2b1 c1c2 c7c2,1160,75,83,377,crushing endgame short,https://lichess.org/R4S9ofZ8#59,6k1/2q2p2/Q5pp/3p4/3P4/4P1P1/Prp2PKP/2R5 b - - 1 30,-376,20,19,9,8
8/6pk/p2n1pr1/3P2q1/P3Pb1p/1P3Q1P/1BR2PP1/7K b - - 3 30,f4e5 b2c1 g5g2 f3g2 g6g2 h1g2,2057,76,91,527,crushing long middlegame,https://lichess.org/YCxFEkp7/black#60,8/6pk/p2n1pr1/3Pb1q1/P3P2p/1P3Q1P/1BR2PP1/7K w - - 4 31,510,24,24,11,9
r3r1k1/1bqp1pbp/p1n3p1/1pNpP3/3p1B2/P4N2/1PP1QPPP/4RRK1 b - - 5 16,d7d6 e5d6 e8e2 d6c7,1310,75,96,5320,advancedPawn crushing middlegame short,https://lichess.org/zjCos1RM/black#32,r3r1k1/1bq2pbp/p1np2p1/1pNpP3/3p1B2/P4N2/1PP1QPPP/4RRK1 w - - 0 17,343,35,36,14,15
3r2k1/p2q1pbp/1p4p1/3BPn2/8/1P5P/PB1Q2PK/3R4 b - - 0 29,d7c7 d5f7 g8f7 d2d8 g7e5 b2e5,1646,75,94,67,advantage discoveredAttack kingsideAttack long middlegame,https://lichess.org/6vZuz1F3/black#58,3r2k1/p1q2pbp/1p4p1/3BPn2/8/1P5P/PB1Q2PK/3R4 w - - 1 30,402,25,25,10,10
1r6/1p1k3p/pR4n1/2p5/6P1/2B4P/P4K2/8 b - - 2 35,d7c7 b6g6 h7g6 c3e5 c7d7 e5b8,1591,104,16,50,advantage endgame long sacrifice skewer,https://lichess.org/KwnoXvA2/black#70,1r6/1pk4p/pR4n1/2p5/6P1/2B4P/P4K2/8 w - - 3 36,407,11,12,6,7
rk1q3r/4nQpp/p2pB3/1p6/4P3/5P1P/PPP2P2/2KR3R w - - 0 20,d1d6 d8d6 h1d1 d6c5 f7g7 e7g6,2667,83,90,493,advantage defensiveMove hangingPiece long middlegame,https://lichess.org/D9f2fvLt#39,rk1q3r/4nQpp/p2RB3/1p6/4P3/5P1P/PPP2P2/2K4R b - - 0 20,-264,29,26,12,9
2r2Q2/3p2qk/p2p2pp/1p6/1P2B3/P7/6PP/7K w - - 0 35,f8c8 g7a1 e4b1 a1b1 c8c1 b1c1,640,87,67,75,backRankMate endgame long mate mateIn3,https://lichess.org/aMhgyWm5#69,2Q5/3p2qk/p2p2pp/1p6/1P2B3/P7/6PP/7K b - - 0 35,-3,16,15,7,8
r4r2/pp1n2bk/1q1pp1R1/7p/3PP2P/6R1/PPPQB3/2K5 b - - 2 20,g7d4 d2h6,1271,76,92,1488,mate mateIn1 middlegame oneMove,https://lichess.org/2uqcz5Zp/black#40,r4r2/pp1n3k/1q1pp1R1/7p/3bP2P/6R1/PPPQB3/2K5 w - - 0 21,1,27,30,10,11
8/2p3p1/3k1p2/p1p2P2/P3KPP1/1P6/8/8 b - - 0 31,c7c6 e4d3 d6d5 g4g5 c5c4 b3c4 d5c5 d3c3,2749,112,91,469,crushing defensiveMove endgame pawnEndgame veryLong zugzwang,https://lichess.org/MmyLq5fM/black#62,8/6p1/2pk1p2/p1p2P2/P3KPP1/1P6/8/8 w - - 0 32,86,5,5,6,6
r1bq2k1/5Rb1/pp2p2Q/2ppN3/3P4/3B4/PPP3PP/6K1 b - - 0 24,g7h6 d3h7 g8h8 e5g6,854,82,96,2185,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/b5TLA8EH/black#48,r1bq2k1/5R2/pp2p2b/2ppN3/3P4/3B4/PPP3PP/6K1 w - - 0 25,2,17,25,10,10
rqr5/5ppk/p3p2p/8/4N2P/2n1BB2/PP3PP1/R3K2R w KQ - 0 21,e4c3 b8b2 e1g1 b2c3,1084,76,88,598,crushing fork middlegame short,https://lichess.org/y6v6hBaU#41,rqr5/5ppk/p3p2p/8/7P/2N1BB2/PP3PP1/R3K2R b KQ - 0 21,-339,24,24,11,9
r1b2rk1/pp4p1/2n1p2p/3pnp2/7q/2P3BP/PPQN1PP1/RB3RK1 b - - 3 15,h4g5 g3e5 c6e5 f2f4 g5g3 f4e5,1887,72,95,13783,advantage fork long opening,https://lichess.org/AnKqfwf0/black#30,r1b2rk1/pp4p1/2n1p2p/3pnpq1/8/2P3BP/PPQN1PP1/RB3RK1 w - - 4 16,400,34,35,13,14
2r3k1/pp4pQ/2p2r1p/8/3P2bq/2P5/PPBB2P1/5RK1 b - - 1 26,g8f7 h7g6 f7f8 f1f6 h4f6 g6g4,1573,207,68,13,crushing deflection long middlegame pin,https://lichess.org/KiIKNK39/black#52,2r5/pp3kpQ/2p2r1p/8/3P2bq/2P5/PPBB2P1/5RK1 w - - 2 27,225,25,27,10,10
6k1/pbpp1r1p/2p4P/8/4PN1R/4QKP1/q7/8 b - - 0 30,d7d5 h4g4 g8f8 e3c5 f8e8 g4g8,1383,75,90,2860,crushing endgame long,https://lichess.org/j6cr9Itz/black#60,6k1/pbp2r1p/2p4P/3p4/4PN1R/4QKP1/q7/8 w - - 0 31,463,20,22,7,9
r6k/pp2q1pp/3b1n2/2p5/1nP5/1PQ3P1/PB1PrPBP/RN3RK1 w - - 3 20,a2a3 d6e5 a3b4 e5c3,1686,76,72,553,advantage middlegame short,https://lichess.org/OPTp3532#39,r6k/pp2q1pp/3b1n2/2p5/1nP5/PPQ3P1/1B1PrPBP/RN3RK1 b - - 0 20,-145,35,33,14,12
2r1r1k1/1b2npbp/p5p1/6N1/1Bp3n1/N6Q/PPB3PP/1R2q2K w - - 0 27,b1e1 g4f2 h1g1 f2h3,981,144,54,15,crushing fork middlegame short,https://lichess.org/SEx2uDuU#53,2r1r1k1/1b2npbp/p5p1/6N1/1Bp3n1/N6Q/PPB3PP/4R2K b - - 0 27,-602,30,27,11,12
2r2rk1/1p1b2pp/p2np3/3pQ3/P1q5/2BR1N2/1PP3PP/R6K b - - 2 33,d6f5 g2g4 c4g4 a1g1,2130,75,91,1410,advantage middlegame short,https://lichess.org/8QyWKi3p/black#66,2r2rk1/1p1b2pp/p3p3/3pQn2/P1q5/2BR1N2/1PP3PP/R6K w - - 3 34,-42,30,31,11,12
r4rk1/pb3pp1/4pn1p/1Q2N1q1/4P3/2b4P/PP3PPB/R4RK1 w - - 0 24,b5b7 c3e5 h2e5 g5e5,1360,76,83,384,advantage middlegame short,https://lichess.org/M02MEPUw#47,r4rk1/pQ3pp1/4pn1p/4N1q1/4P3/2b4P/PP3PPB/R4RK1 b - - 0 24,-486,31,30,12,11
3rr2k/pp2B1p1/1bpP2qp/5p2/1P2n3/P4N2/2Q2PPP/4RRK1 w - - 4 24,e1e4 f5e4,1240,133,50,38,equality middlegame oneMove,https://lichess.org/ffalREgQ#47,3rr2k/pp2B1p1/1bpP2qp/5p2/1P2R3/P4N2/2Q2PPP/5RK1 b - - 0 24,13,31,28,12,11
r3k1r1/1ppq2p1/1b1p2bp/pP6/P2PP1PB/7P/8/RN1Q1RK1 b q - 1 18,g6e4 b1c3 g7g5 c3e4,2042,85,46,37,advantage middlegame short,https://lichess.org/fIDK4IRd/black#36,r3k1r1/1ppq2p1/1b1p3p/pP6/P2Pb1PB/7P/8/RN1Q1RK1 w q - 0 19,280,30,31,11,12
1r2r2k/pp2Np1p/6p1/2p1R1Q1/3b4/8/PPP2PK1/3q4 b - - 3 23,d4e5 g5e5 f7f6 e5f6,1176,78,88,1847,endgame mate mateIn2 short,https://lichess.org/CfFEwpmF/black#46,1r2r2k/pp2Np1p/6p1/2p1b1Q1/8/8/PPP2PK1/3q4 w - - 0 24,2,16,28,7,11
8/6k1/5R2/4n1KP/6P1/8/8/7r b - - 0 58,h1h5 g4h5 e5f7 g5f5,1926,75,79,156,crushing defensiveMove endgame hangingPiece short,https://lichess.org/3eRi8cGw/black#116,8/6k1/5R2/4n1Kr/6P1/8/8/8 w - - 0 59,456,6,8,3,3
r4r2/p2bRp1k/1pp2qpp/3p1p2/3P4/1NQ5/PPP2PPP/4R1K1 b - - 3 20,d7e6 e1e6 f6e6 e7e6,1397,77,77,114,advantage middlegame pin short,https://lichess.org/Zf25t6aw/black#40,r4r2/p3Rp1k/1pp1bqpp/3p1p2/3P4/1NQ5/PPP2PPP/4R1K1 w - - 4 21,507,29,30,12,13
8/5pk1/6p1/3P4/3q4/2p3pP/2Pr2B1/2R1Q2K w - - 0 36,e1e4 d2d1 e4e1 d1e1,1051,77,96,1075,crushing endgame short,https://lichess.org/tmWYXXBL#71,8/5pk1/6p1/3P4/3qQ3/2p3pP/2Pr2B1/2R4K b - - 1 36,-707,20,18,7,7
5rk1/3P1pbp/q3p1p1/r2p4/1Q3P2/N1P1B3/PP4PP/R5K1 b - - 2 23,a5a4 b4f8 g7f8 d7d8q,1195,75,94,13844,advancedPawn crushing kingsideAttack middlegame promotion short,https://lichess.org/ndRPsVgd/black#46,5rk1/3P1pbp/q3p1p1/3p4/rQ3P2/N1P1B3/PP4PP/R5K1 w - - 3 24,350,27,27,12,10
3rr1k1/p3bpp1/2p1q2p/2p1P3/2NpR3/1PnP2QP/P1P2PP1/R1B3K1 w - - 5 21,e4g4 c3e2 g1h1 e2g3,855,103,83,374,crushing fork middlegame short,https://lichess.org/W5Fg3A0t#41,3rr1k1/p3bpp1/2p1q2p/2p1P3/2Np2R1/1PnP2QP/P1P2PP1/R1B3K1 b - - 6 21,-530,33,32,14,13
8/p2R4/3B2pk/3p1p1p/3bp2q/PP2N3/5P2/6K1 b - - 5 33,d4e3 d6f8 h6g5 f8e7 g5g4 e7h4,1686,194,3,22,advantage endgame long skewer,https://lichess.org/y3EVfN91/black#66,8/p2R4/3B2pk/3p1p1p/4p2q/PP2b3/5P2/6K1 w - - 0 34,315,11,18,6,9
5r1k/2r3p1/pp1N3p/2p4n/5p2/1B3P1P/PPP4B/R5K1 w - - 2 28,d6e4 c5c4 b3a4 b6b5 a4b5 a6b5,1639,76,96,8046,advantage long middlegame trappedPiece,https://lichess.org/k5PrFjHd#55,5r1k/2r3p1/pp5p/2p4n/4Np2/1B3P1P/PPP4B/R5K1 b - - 3 28,-297,19,19,10,10
8/8/2p5/P7/kP6/3K1p2/8/8 b - - 1 50,a4b4 a5a6 f3f2 d3e2 b4c5 a6a7,1469,75,95,20871,advancedPawn crushing endgame long pawnEndgame,https://lichess.org/i0UGq6FT/black#100,8/8/2p5/P7/1k6/3K1p2/8/8 w - - 0 51,496,1,2,2,3
r2qk2r/1p3pbp/p1npbnp1/3Np3/4P3/2NB4/PPP2PPP/R1BQK2R b KQkq - 3 11,f6d5 e4d5 e6d5 c3d5 d8a5 d5c3,1504,76,96,14208,advantage defensiveMove fork long opening,https://lichess.org/GQ4qa2uk/black#22,r2qk2r/1p3pbp/p1npb1p1/3np3/4P3/2NB4/PPP2PPP/R1BQK2R w KQkq - 0 12,321,35,38,14,15
8/3R4/p1k5/4p3/1Pn1P3/P7/3Br1r1/2KR4 w - - 2 46,d7d8 c6b5 d8d5 b5a4,2285,119,86,31,advantage defensiveMove endgame short,https://lichess.org/S0TDENkN#91,3R4/8/p1k5/4p3/1Pn1P3/P7/3Br1r1/2KR4 b - - 3 46,-350,16,15,7,6
r1b4r/ppp1kBpp/2p5/2b4Q/4P2q/2P4P/PP1P1nP1/RNB2RK1 b - - 2 10,f2e4 d2d4 h4h5 f7h5,1527,76,83,54,crushing defensiveMove middlegame short,https://lichess.org/vrV8WK6L/black#20,r1b4r/ppp1kBpp/2p5/2b4Q/4n2q/2P4P/PP1P2P1/RNB2RK1 w - - 0 11,380,34,34,13,13
r2q2k1/2RP1ppp/8/p2Q4/Pb1P4/8/5PPP/6K1 b - - 3 26,d8c7 d5a8 b4f8 a8c8 c7d7 c8d7,1926,74,90,484,crushing endgame hangingPiece long,https://lichess.org/3wMXyFZY/black#52,r5k1/2qP1ppp/8/p2Q4/Pb1P4/8/5PPP/6K1 w - - 0 27,573,15,21,8,8
5rk1/5ppp/rn6/2Q3P1/1p5P/qP6/P3R3/1K1R4 b - - 2 27,a3a5 c5f8 g8f8 d1d8,1032,75,97,790,attraction mate mateIn2 middlegame sacrifice short,https://lichess.org/ZSZSv3ld/black#54,5rk1/5ppp/rn6/q1Q3P1/1p5P/1P6/P3R3/1K1R4 w - - 3 28,2,23,26,8,9
rn2k2r/ppp2ppp/2q1bp2/1B1p4/1b1P4/1PN1PN2/P1PQ1PPP/R3K2R b KQkq - 4 9,b4c3 b5c6 b8c6 d2c3,917,78,80,169,advantage intermezzo middlegame short,https://lichess.org/OhP83a1u/black#18,rn2k2r/ppp2ppp/2q1bp2/1B1p4/3P4/1Pb1PN2/P1PQ1PPP/R3K2R w KQkq - 0 10,646,33,36,14,15
r2q1bnr/pb2p1p1/nk5p/1p6/3PpB2/1QN5/PPP2PPP/2KR3R b - - 1 15,a8c8 b3b5,1622,78,19,174,mate mateIn1 middlegame oneMove,https://lichess.org/56uQJZop/black#30,2rq1bnr/pb2p1p1/nk5p/1p6/3PpB2/1QN5/PPP2PPP/2KR3R w - - 2 16,1,32,37,13,14
2q3rk/pp2bpp1/n1p4p/5P1Q/1P2NP2/2P5/P6P/6RK b - - 4 27,e7f8 e4g5 c8f5 g5f7 f5f7 h5f7,2181,77,94,193,advantage kingsideAttack long middlegame pin,https://lichess.org/KBFWBYtp/black#54,2q2brk/pp3pp1/n1p4p/5P1Q/1P2NP2/2P5/P6P/6RK w - - 5 28,586,23,26,10,11
3r1rk1/ppq2ppp/2p1p3/3n2N1/3P1PP1/3QP1K1/PP5P/5R2 b - - 4 26,c7b6 d3h7,552,92,96,216,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/VEFJ1fSR/black#52,3r1rk1/pp3ppp/1qp1p3/3n2N1/3P1PP1/3QP1K1/PP5P/5R2 w - - 5 27,1,24,29,11,12
4k2r/3pq2p/7Q/2p2p2/2N5/2Pp3N/P2K1PPP/n6R w k - 0 23,h1a1 e7e2 d2c1 e2c2,998,86,90,1444,endgame mate mateIn2 short,https://lichess.org/6374wU1e#45,4k2r/3pq2p/7Q/2p2p2/2N5/2Pp3N/P2K1PPP/R7 b k - 0 23,-2,25,19,10,8
2q4k/P6p/1Qnp2p1/1p2p1bb/1P2P2r/2P2P2/6KN/R6R b - - 0 35,c8h3 g2f2 h4f4 a7a8q h8g7 a8b7 c6e7 b6e3 f4f3 e3f3,2397,97,68,30,advancedPawn advantage fork middlegame promotion veryLong,https://lichess.org/XwMMvTuU/black#70,7k/P6p/1Qnp2p1/1p2p1bb/1P2P2r/2P2P1q/6KN/R6R w - - 1 36,201,27,28,10,11
